file_id	score
03d2930b-3e12-4e13-97d0-631a0ffd8116	0.0
03ddcf5d-71e8-4b8b-a962-c7ee30c3b759	0.0
03ec1d1f-af65-434b-bc61-f15a44be5d39	0.0
0425f453-f3d8-4cd6-8bd6-dceee30bebb2	0.0
042dfa90-cbd6-4885-855d-9e85dcc48f65	0.0
043457c4-6e53-43fd-b709-dd60099eed6e	0.0
04dd806a-b77b-443c-943e-79a006134dd8	0.0
04e5aafe-3912-4802-8f59-1f60f3bfd065	0.0
05d8f2b5-234f-4c84-b20e-c18f8c0dbe9e	0.0
0742cf40-3038-4464-afb0-a2d808fba84f	0.0
07b0ba21-f6de-4d4d-8614-2c4434aedda6	0.0
001fc80a-e6b7-4053-9f58-1995082b1576	1.0
06de2d94-de57-425d-94b1-1b04438358ff	1.0
0bdf0e8a-378f-412c-8341-276915672220	1.0
0c794baa-9627-41f4-af0c-5eb2b657866d	1.0
39c40ff9-3d82-43a8-a657-43aa291c88b6	1.0
4cd076f2-f65c-4798-a1f3-773fec69c8bd	1.0
4d814b9e-4f0b-4ad8-995a-be4fc8cdf82b	1.0
8b723694-97e5-42c1-83bd-7223ebfe0b80	1.0
96ecd3a1-7b84-4a2b-a96e-b78fd7323a1f	1.0
b3c51c37-daaa-40df-acec-4ec99a7cbc9b	1.0
dfc93def-48f2-4f06-bd8a-b6cd15089bca	1.0
e646e0e9-f0aa-4d8b-b418-64eb87e42d1f	1.0
eb71198a-c8ba-484d-88a2-38a1baec15e3	1.0
29dc0eca-6f9b-4cfb-acdf-edb3318ae400	5.0
43ed0617-fdc6-49d4-b69f-fac8389f8733	5.0
5762dd89-0a48-4b22-af4e-b0603dff34a1	5.0
7a89fcac-0748-4aff-9d5f-cd7e7fef8fef	5.0
faa8054e-e035-461d-892a-1b0ccb713104	5.0
2a443302-aaac-4130-bbe3-e4ca23a2e269	6.0
7099d730-309e-46eb-bbfc-2b7a76b0115b	6.0
92596921-2ac6-421f-b4c2-dfc8cac811bf	6.0
941bbf22-940b-4068-83dc-1acba1a4f1a1	6.0
ae79d898-a8b5-45c7-92b3-cf910fe7539c	6.0
18258ee1-05e0-419e-92ad-6f26e1e0f018	6.75
0af51d71-65e8-4120-a196-22d05b84bb2b	7.0
1468f297-ca04-4f26-9380-37aab698f4b3	7.0
219e7ea5-aff7-4e9d-8847-f7df5bd0c6a8	7.0
